INDEPENDENTE
PAO DE ACUCAR
BOMPRECO
COMPREBEM BARATEIRO
BAZAR 13
CARREFOUR BAIRRO
CARREFOUR
LARANJAO
BOTINHO
COOP
COMERCIAL CARVALHO
CASTRO
SENDAS
TRESSOLDI
FLORESTA
GUANABARA
PROENCA
SUPERMERCADO DB
EXTRA
NORDESTAO
GBARBOSA
PRISMA
BONANZA
SUPERCEI
MAX BOX
RIGHI
COOPERCITRUS
EMPORIO DA GENTE
EPA
DIA%
CASA CACULA
BIG
ATACADAO
XANDE
AMIGAO
COMIGO COOP
MINIPRECO
VISCARDI
MERCADORAMA
COVABRA
TOME LEVE
SUPER AVENIDA
PAO DE MEL
RISSUL
RIO _ KI_BARATO
COMERCIAL ZAFFARI
BIRD
ECON
PREZUNIC
PINHEIRO
CIDADE CANCAO
GALASSI
INTERCONTINENTAL
MUNDIAL
ZAFFARI
SUPERMAIA
TRENTO
RICOY
SAUDE
FROTA
PASTORINHO
VEN_KA
BOURBON
ESAL
LIDEL
SUPER LAGOA
SUPER DIP
SEMPRE VALE
SAO FRANCISCO
SUPER BOM
SUPER CESTA SESI
BISTEK
EXTRABOM
SAO VICENTE
REAL
PRINCESA
COMPER
ANGELONI
ARCHER
PERUZZO
PAGUE MENOS SP
MYATA
Y YAMADA
NAGUMO
CAMPEAO
SOGERAL
UNICOMPRA
CENTRAL
CASA GRANDE
MONTREAL
REDE OBA DE HORTIFRUTI
SUPER BEAL
CRAVIL
SUPERNOSSO
BERGAMINI
APOLO
SUP SANTO ANTONIO
ARCO IRIS
BAHAMAS
GUANABARA RS
SUPER ANDREAZZA
JAU_SERVE
JOANIN
COOP BB
FUTURAMA
PARMA COMERCIO
SUPERMERCADO CAMPOS
MUFFATO
DOTTA
CESTA DO POVO
GAUCHA CARNES
REAL DO EDEN
METROPOLE MERCADO
MERCADINHO SAO LUIZ
SUPER CESA
CEREAL
IMPERATRIZ
MAXXI 
NACIONAL
CONDOR
BIG SUPERMERCADO
ZONA SUL
MAMBO SUPERMERCADO
MARCOS SUPERMERCADO
BIG BOX
KUSMA
PRAVOCE
TOKIO
SUP CIDADE PA
SUP AMAZONIA
ISABELA
GRANERO
SUP NAZARE
SUP FORMOSA
PAULISTAO_BATAGIN
SUPERMERCADO BH
